Onset,Duration,Annotation
+1947.8420000,,spindle
+1949.9661000,,Markoff: 3 
+1950.0656000,,Markon: 3
+1950.3070000,,spindle
+1952.5750000,,spindle
+1954.3700000,,spindle
+1958.9120000,,spindle
+1959.2200000,,spindle
+1964.4310000,,spindle
+1968.6970000,,spindle
+1971.4920000,,spindle
+1975.1410000,,spindle
+1979.6870000,,spindle
+1979.9661000,,Markoff: 3
+1980.0820000,,Markon: 3
+1981.5380000,,spindle
+1985.3880000,,spindle
+1988.3640000,,spindle
+1992.8370000,,spindle
+1997.6950000,,spindle
+2003.6950000,,spindle
+2008.8790000,,spindle
+2009.9497000,,Markoff: 3
+2010.0000000,,Markon: 3
+2014.0690000,,spindle
+2017.5700000,,spindle
+2022.8500000,,spindle
+2026.2840000,,spindle
+2030.8510000,,spindle
+2036.4800000,,spindle
+2039.9661000,,Markoff: 3
+2040.0492000,,Markon: 3
+2040.9370000,,spindle
+2044.5100000,,spindle
+2047.2290000,,spindle
+2050.1790000,,spindle
+2053.2490000,,spindle
+2059.5240000,,spindle
+2061.9070000,,spindle
+2062.9440000,,spindle
+2067.6430000,,spindle
+2069.9497000,,Markoff: 3
+2070.0328000,,Markon: 3
+2073.2040000,,spindle
+2076.8260000,,spindle
+2084.9960000,,spindle
+2088.7000000,,spindle
+2099.9825000,,Markoff: 3
+2100.0492000,,Markon: 3
+2103.6620000,,spindle
+2107.6070000,,spindle
+2113.8180000,,spindle
+2116.8710000,,spindle
+2121.1800000,,spindle
+2122.8460000,,spindle
+2126.2670000,,spindle
+2129.9590000,,spindle
+2129.9661000,,Markoff: 3
+2130.0820000,,Markon: 3
+2133.3250000,,spindle
+2134.0740000,,spindle
+2141.0250000,,spindle
+2143.6100000,,spindle
+2149.3590000,,spindle
+2158.0980000,,spindle
+2159.9333000,,Markoff: 3
+2160.0328000,,Markon: 3
+2164.4270000,,spindle
+2168.6280000,,spindle
+2169.8400000,,spindle
+2173.4560000,,spindle
+2179.4750000,,spindle
+2187.0640000,,spindle
+2189.9169000,,Markoff: 3
+2190.0000000,,Markon: 3
+2192.0350000,,spindle
+2194.6130000,,spindle
